fip_code,gathering_size_500_to_101,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_10_0,school_closure,closing_of_public_venues,non-essential_services_closure,social_distancing,shelter_in_place,religious_gatherings_banned,lockdown
18081,2020-03-16,2020-03-16,2020-03-24,2020-03-24,2020-03-16,2020-03-16,2020-03-23,2020-03-24,2020-03-23,2020-03-23,
18089,,,,,2020-03-13,2020-03-16,,2020-03-24,2020-03-23,,
18095,2020-03-16,2020-03-16,2020-03-20,2020-03-20,2020-03-19,2020-03-16,2020-03-23,2020-03-20,2020-03-23,2020-03-23,
18097,2020-03-16,2020-03-16,2020-03-24,2020-03-24,2020-03-16,2020-03-16,2020-03-23,2020-03-24,2020-03-23,2020-03-17,
18141,2020-03-16,2020-03-16,2020-03-24,2020-03-24,2020-03-19,2020-03-16,2020-03-23,2020-03-24,2020-03-23,2020-03-23,
19103,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-16,2020-03-17,2020-03-17,,,2020-03-17,
19113,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-12,2020-03-17,2020-03-17,2020-04-08,,2020-03-17,
19153,,,,,2020-03-16,,,,,,
20091,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-16,2020-03-17,2020-03-24,2020-03-24,2020-03-24,,
20173,2020-03-17,2020-03-17,2020-03-24,2020-03-24,2020-03-17,2020-03-24,2020-03-24,2020-03-24,2020-03-25,2020-04-07,
20209,2020-03-17,2020-03-17,2020-03-16,2020-03-16,2020-03-17,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
21067,,,,,2020-03-16,2020-03-16,2020-03-17,2020-03-17,,,
21111,,,,,2020-03-16,2020-03-17,2020-03-17,2020-03-17,2020-03-25,2020-03-19,
22005,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
22015,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
22017,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
22019,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
22033,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
22047,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
22051,2020-03-13,2020-03-16,2020-03-13,2020-03-13,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
22055,2020-03-13,,,,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-22,,
22057,2020-03-13,2020-03-16,,,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,,
22071,2020-03-13,2020-03-16,2020-03-17,2020-03-17,2020-03-13,2020-03-16,2020-03-20,2020-03-20,2020-03-20,2020-03-20,
22073,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
22075,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
22079,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
