approxDays,Urban,Frac65Plus,PopDensity,gathering_size_500_to_101,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_10_0,school_closure,closing_of_public_venues,non-essential_services_closure,social_distancing,shelter_in_place,religious_gatherings_banned,lockdown,flights_prev_week,avg_temp_prev_week,casesPer1M
15,9,0.229357798,0.627847118,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,7,0.135626028,23.22023982,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,96.7835597
15,6,0.212055873,8.323144302,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,93.7470704
15,9,0.277735658,3.114440947,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,6,0.227755644,7.067777451,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.139040506,5.013845328,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.214239272,2.647595259,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.204364675,4.333212844,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.252737626,1.81064306,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,8,0.278907436,2.18211487,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.225124378,5.071915216,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,310.9452736
15,9,0.301971326,3.149628522,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,8,0.244897959,1.813388283,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,8,0.235614715,4.52124597,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,7,0.19257288,7.927839115,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,3,0.167325937,16.14579872,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,257.2760894
15,8,0.269083304,2.9221391,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,3,0.22182377,2.702089136,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,7,0.235726538,4.007718861,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,490.0759618
15,7,0.198763174,9.685501696,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,261.3012804
15,8,0.206415887,6.072081181,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,8,0.241198108,2.672216114,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.250912409,2.138726463,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,8,0.195968645,9.325061407,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.270310192,3.544487153,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.20409216,3.103617935,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,171.9394773
15,9,0.231322873,6.210008599,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.116844976,15.83912122,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.225322997,4.507951817,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.224156692,0.800182501,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,3,0.160748586,58.35324929,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,230.9153695
15,9,0.269522068,2.571431258,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.306769826,2.652470902,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.091549296,4.938890648,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.203032856,2.706140911,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,6,0.178828746,11.31106365,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.323943662,1.387537466,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,7,0.190897356,9.413998085,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,7,0.095841584,17.01485756,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.238496334,3.842656666,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.224343675,2.220379266,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.116754747,5.598109638,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,3,0.126847534,49.27500914,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,9,0.244205766,1.767435819,0,0,0,0,1,1,1,0,0,0,0,0,-1.336209222,0
15,7,0.077338129,0.435698377,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,7,0.157395629,3.012876239,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,7,0.076965305,0.448331814,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,8,0.118989801,0.162934744,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,9,0.22069523,1.055223506,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,5,0.133839878,11.87621488,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,93.42011024
15,9,0.145470383,2.645569708,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,9,0.195364238,0.079231008,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,9,0.059737444,0.486288771,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,9,0.218937275,0.979266391,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,9,0.094,0.27275245,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,9,0.190934492,1.110439232,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,9,0.144811859,1.819573801,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,7,0.068172609,0.111140576,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,9,0.224546722,0.328072731,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,7,0.103334582,2.017273728,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,9,0.152055566,0.036592692,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,9,0.092176387,0.503209085,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,9,0.068845011,1.302325116,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,9,0.137058053,0.267782047,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,7,0.174055661,3.653017679,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,68.33751901
15,7,0.073132577,0.215091095,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,7,0.155338411,2.865599119,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,790.3434401
15,2,0.119078153,4.35419175,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,9,0.102079395,0.066388551,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,9,0.1452732,0.278695561,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,3,0.103100908,13.50294178,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,101.0396985
15,9,0.170663345,1.220038573,1,1,1,1,1,1,0,0,0,1,0,227,1.863064151,0
15,2,0.110904925,170.8097024,1,1,1,1,1,1,1,1,1,1,0,227,1.863064151,102.9025376
15,6,0.158576656,70.46928889,0,0,0,0,1,0,0,0,0,0,0,0,3.012212744,20.49480154
15,6,0.297537124,57.28655519,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,6,0.156810175,53.08530159,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,22.15771864
15,2,0.187539439,31.16698877,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,42.06806613
15,9,0.308668076,7.48606255,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,6,0.206179183,47.68352437,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,3,0.165648045,227.1532908,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,18.39035365
15,6,0.242030112,15.48569158,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
